School,City,State,County,Latitude,Longitude
Cochise County Community College District,Sierra Vista,AZ,Cochise ,31.564597,-110.246946
Empire Beauty School-Flagstaff,Flagstaff,AZ,Coconino ,35.197151,-111.625936
Empire Beauty School-Chandler,Chandler,AZ,Maricopa ,33.347586,-111.860423
Cortiva Institute-Tucson,Tucson,AZ,Pima ,32.21901,-110.856785
Avalon School of Cosmetology-Mesa,Mesa,AZ,Maricopa ,33.376583,-111.858305
Eastern Arizona College,Thatcher,AZ,Graham ,32.843664,-109.76234
Embry-Riddle Aeronautical University-Prescott,Prescott,AZ,Yavapai ,34.616766,-112.449741
School of Architecture at Taliesin,Scottsdale,AZ,Maricopa ,33.607097,-111.845411
Glendale Community College,Glendale,AZ,Maricopa ,33.570226,-112.190735
Grand Canyon University,Phoenix,AZ,Maricopa ,33.513231,-112.129929
Maricopa Community College System Office,Tempe,AZ,Maricopa ,33.412915,-111.975786
GateWay Community College,Phoenix,AZ,Maricopa ,33.449686,-111.997077
Mesa Community College,Mesa,AZ,Maricopa ,33.390323,-111.871255
Mohave Community College,Kingman,AZ,Mohave ,35.270996,-114.029838
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,Phoenix,AZ,Maricopa ,33.684428,-112.121336
Dine College,Tsaile,AZ,Apache ,36.293328,-109.21684
Northern Arizona University,Flagstaff,AZ,Coconino ,35.188449,-111.653724
Northland Pioneer College,Holbrook,AZ,Navajo ,34.93031,-110.142199
Ottawa University-Phoenix,Phoenix,AZ,Maricopa ,33.572173,-112.113001
Phoenix College,Phoenix,AZ,Maricopa ,33.481361,-112.088293
Cortiva Institute-Scottsdale,Scottsdale,AZ,Maricopa ,33.466153,-111.90807
Pima Community College,Tucson,AZ,Pima ,32.222125,-110.886659
Pima Medical Institute-Tucson,Tucson,AZ,Pima ,32.248067,-110.878783
Pima Medical Institute-Albuquerque,Albuquerque,NM,Bernalillo ,35.104855,-106.59488
Prescott College,Prescott,AZ,Yavapai ,34.5452,-112.477185
Refrigeration School Inc,Phoenix,AZ,Maricopa ,33.448692,-111.989357
Rio Salado College,Tempe,AZ,Maricopa ,33.413309,-111.97417
Roberto-Venn School of Luthiery,Phoenix,AZ,Maricopa ,33.45489,-112.086161
Scottsdale Community College,Scottsdale,AZ,Maricopa ,33.51135,-111.885186
South Mountain Community College,Phoenix,AZ,Maricopa ,33.382406,-112.032635
Arizona Christian University,Glendale,AZ,Maricopa ,33.622952,-112.181776
Universal Technical Institute of Arizona Inc,Avondale,AZ,Maricopa ,33.453005,-112.288123
Empire Beauty School-NW Phoenix,Phoenix,AZ,Maricopa ,33.538093,-112.118168
Yavapai College,Prescott,AZ,Yavapai ,34.547495,-112.453395
University of Arkansas at Little Rock,Little Rock,AR,Pulaski ,34.723254,-92.339778
University of Arkansas for Medical Sciences,Little Rock,AR,Pulaski ,34.749048,-92.320046
Arkansas Baptist College,Little Rock,AR,Pulaski ,34.734751,-92.290555
Arkansas Beauty School-Little Rock,Little Rock,AR,Pulaski ,34.672171,-92.343366
Arkansas Beauty College,Russellville,AR,Pope ,35.27902,-93.135369
Lyon College,Batesville,AR,Independence ,35.777619,-91.625354
Arkansas College of Barbering and Hair Design,North Little Rock,AR,Pulaski ,34.753843,-92.266429
Arkansas College of Barbering and Hair Design,Little Rock,AR,Pulaski ,34.760221,-92.375875
Arthur's Beauty College Inc-Fort Smith,Fort Smith,AR,Sebastian ,35.379955,-94.410967
University of Arkansas,Fayetteville,AR,Washington ,36.070009,-94.176981
University of Arkansas at Pine Bluff,Pine Bluff,AR,Jefferson ,34.244031,-92.018683
Arkansas State University-Beebe,Beebe,AR,White ,35.074176,-91.895351
Arkansas State University-Main Campus,Jonesboro,AR,Craighead ,35.842388,-90.679988
Arkansas Tech University,Russellville,AR,Pope ,35.293237,-93.13562
University of Arkansas at Monticello,Monticello,AR,Drew ,33.590909,-91.811153
Arthur's Beauty College Inc-Jacksonville,Jacksonville,AR,Pulaski ,34.891572,-92.102579
Baptist Health College Little Rock,Little Rock,AR,Pulaski ,34.713115,-92.40692
Black River Technical College,Pocahontas,AR,Randolph ,36.239793,-90.951033
University of Central Arkansas,Conway,AR,Faulkner ,35.077945,-92.457672
Central Baptist College,Conway,AR,Faulkner ,35.083838,-92.445021
Cossatot Community College of the University of Arkansas,De Queen,AR,Sevier ,34.043389,-94.3673
Crowley's Ridge College,Paragould,AR,Greene ,36.064845,-90.584395
Crowley's Ridge Technical Institute,Forrest City,AR,St. Francis ,35.039816,-90.767321
East Arkansas Community College,Forrest City,AR,St. Francis ,35.041655,-90.767726
Eastern College of Health Vocations-Little Rock,Little Rock,AR,Pulaski ,34.75128,-92.341891
Imagine-Paul Mitchell Partner School,North Little Rock,AR,Pulaski ,34.789913,-92.222202
National Park College,Hot Springs,AR,Garland ,34.512687,-93.119248
University of Arkansas Community College-Batesville,Batesville,AR,Independence ,35.792923,-91.615852
Harding University,Searcy,AR,White ,35.247386,-91.726143
Harding School of Theology,Memphis,TN,Shelby ,35.10413,-89.914472
Henderson State University,Arkadelphia,AR,Clark ,34.128155,-93.059703
Hendrix College,Conway,AR,Faulkner ,35.101565,-92.443256
Hot Springs Beauty College,Hot Springs,AR,Garland ,34.496057,-93.037277
Jefferson Regional Medical Center School of Nursing,Pine Bluff,AR,Jefferson ,34.187831,-92.018045
John Brown University,Siloam Springs,AR,Benton ,36.189812,-94.560283
Career Academy of Hair Design,Springdale,AR,Washington ,36.167605,-94.12947
Career Academy of Hair Design-Siloam Springs,Siloam Springs,AR,Benton ,36.177258,-94.540615
Career Academy of Hair Design-Rogers,Rogers,AR,Benton ,36.355054,-94.146999
Career Academy of Hair Design-Fayetteville,Fayetteville,AR,Washington ,36.047638,-94.222921
Career Academy of Hair Design - Fort Smith,Fort Smith,AR,Sebastian ,35.338814,-94.423905
Academy of Salon and Spa,Fort Smith,AR,Sebastian ,35.38097,-94.41616
Arkansas State University Mid-South,West Memphis,AR,Crittenden ,35.145736,-90.22285
Arkansas Northeastern College,Blytheville,AR,Mississippi ,35.898597,-89.921005
New Tyler Barber College Inc,North Little Rock,AR,Pulaski ,34.760085,-92.254171
North Arkansas College,Harrison,AR,Boone ,36.219909,-93.08844
Northwest Technical Institute,Springdale,AR,Washington ,36.178032,-94.115346
Ouachita Baptist University,Arkadelphia,AR,Clark ,34.126093,-93.052471
Arkansas State University Three Rivers,Malvern,AR,Hot Spring ,34.378745,-92.821416
Ozarka College,Melbourne,AR,Izard ,36.053031,-91.896355
University of the Ozarks,Clarksville,AR,Johnson ,35.476278,-93.467221
University of Arkansas Community College-Morrilton,Morrilton,AR,Conway ,35.172136,-92.728507
Philander Smith College,Little Rock,AR,Pulaski ,34.737131,-92.283015
Phillips Community College of the University of Arkansas,Helena,AR,Phillips ,34.546155,-90.616884
Southeast Arkansas College,Pine Bluff,AR,Jefferson ,34.210309,-92.025936
Professional Cosmetology Education Center,El Dorado,AR,Union ,33.216032,-92.664101
University of Arkansas-Pulaski Technical College,North Little Rock,AR,Pulaski ,34.782783,-92.299184
University of Arknsas Hope-Texarkana,Hope,AR,Hempstead ,33.641665,-93.596762
University of Arkansas Community College at Hope - Texarkana,Texarkana,AR,Miller ,33.474797,-94.004275
University of Arkansas Community College Rich Mountain,Mena,AR,Polk ,34.591449,-94.219799
Paul Mitchell the School-Arkansas,Fayetteville,AR,Washington ,36.126373,-94.153892
Searcy Beauty College,Searcy,AR,White ,35.239148,-91.735135
Shorter College,N Little Rock,AR,Pulaski ,34.75933,-92.261331
Williams Baptist University,Walnut Ridge,AR,Lawrence ,36.125676,-90.940277
South Arkansas Community College,El Dorado,AR,Union ,33.209446,-92.666087
Southern Arkansas University Main Campus,Magnolia,AR,Columbia ,33.291618,-93.235922
Southern Arkansas University Tech,Camden,AR,Calhoun ,33.628367,-92.721629
University of Arkansas System Office,Little Rock,AR,Pulaski ,34.775989,-92.343714
