FIPS,UI_Index,MI_Index,CI_Index,Total_Vaccinated,Vac_Index
1001,1,1,0,2288180,0
1001,1,1,0,2288180,0
1001,1,1,0,2288180,0
1001,1,1,0,2288180,0
1001,1,1,0,2288180,0
1001,1,1,0,2288180,0
1001,1,1,0,2288180,0
1001,1,1,0,2288180,0
1001,1,1,0,2288180,0
1001,1,1,0,2288180,0
1001,1,1,0,2288180,0
1001,1,1,0,2288180,0
1001,1,1,0,2288180,0
1001,1,1,0,2288180,0
1001,1,1,0,2288180,0
1003,1,1,0,2288180,0
1003,1,1,0,2288180,0
1003,1,1,0,2288180,0
1003,1,1,0,2288180,0
1003,1,1,0,2288180,0
1003,1,1,0,2288180,0
1003,1,1,0,2288180,0
1003,1,1,0,2288180,0
1003,1,1,0,2288180,0
1003,1,1,0,2288180,0
1003,1,1,0,2288180,0
1003,1,1,0,2288180,0
1003,1,1,0,2288180,0
1003,1,1,0,2288180,0
1003,1,1,0,2288180,0
1005,0,0,0,2288180,0
1005,0,0,0,2288180,0
1005,0,0,0,2288180,0
1005,0,0,0,2288180,0
1005,0,0,0,2288180,0
1005,0,0,0,2288180,0
1005,0,0,0,2288180,0
1005,0,0,0,2288180,0
1005,0,0,0,2288180,0
1005,0,0,0,2288180,0
1005,0,0,0,2288180,0
1005,0,0,0,2288180,0
1005,0,0,0,2288180,0
1005,0,0,0,2288180,0
1005,0,0,0,2288180,0
1007,0,0,0,2288180,0
1007,0,0,0,2288180,0
1007,0,0,0,2288180,0
1007,0,0,0,2288180,0
1007,0,0,0,2288180,0
1007,0,0,0,2288180,0
1007,0,0,0,2288180,0
1007,0,0,0,2288180,0
1007,0,0,0,2288180,0
1007,0,0,0,2288180,0
1007,0,0,0,2288180,0
1007,0,0,0,2288180,0
1007,0,0,0,2288180,0
1007,0,0,0,2288180,0
1007,0,0,0,2288180,0
1009,1,1,0,2288180,0
1009,1,1,0,2288180,0
1009,1,1,0,2288180,0
1009,1,1,0,2288180,0
1009,1,1,0,2288180,0
1009,1,1,0,2288180,0
1009,1,1,0,2288180,0
1009,1,1,0,2288180,0
1009,1,1,0,2288180,0
1009,1,1,0,2288180,0
1009,1,1,0,2288180,0
1009,1,1,0,2288180,0
1009,1,1,0,2288180,0
1009,1,1,0,2288180,0
1009,1,1,0,2288180,0
1011,1,0,0,2288180,0
1011,1,0,0,2288180,0
1011,1,0,0,2288180,0
1011,1,0,0,2288180,0
1011,1,0,0,2288180,0
1011,1,0,0,2288180,0
1011,1,0,0,2288180,0
1011,1,0,0,2288180,0
1011,1,0,0,2288180,0
1011,1,0,0,2288180,0
1011,1,0,0,2288180,0
1011,1,0,0,2288180,0
1011,1,0,0,2288180,0
1011,1,0,0,2288180,0
1011,1,0,0,2288180,0
1013,0,0,0,2288180,0
1013,0,0,0,2288180,0
1013,0,0,0,2288180,0
1013,0,0,0,2288180,0
1013,0,0,0,2288180,0
1013,0,0,0,2288180,0
1013,0,0,0,2288180,0
1013,0,0,0,2288180,0
1013,0,0,0,2288180,0
1013,0,0,0,2288180,0
1013,0,0,0,2288180,0
1013,0,0,0,2288180,0
1013,0,0,0,2288180,0
1013,0,0,0,2288180,0
1013,0,0,0,2288180,0
1015,0,0,0,2288180,0
1015,0,0,0,2288180,0
1015,0,0,0,2288180,0
1015,0,0,0,2288180,0
1015,0,0,0,2288180,0
1015,0,0,0,2288180,0
1015,0,0,0,2288180,0
1015,0,0,0,2288180,0
1015,0,0,0,2288180,0
1015,0,0,0,2288180,0
1015,0,0,0,2288180,0
1015,0,0,0,2288180,0
1015,0,0,0,2288180,0
1015,0,0,0,2288180,0
1015,0,0,0,2288180,0
1017,0,0,0,2288180,0
1017,0,0,0,2288180,0
1017,0,0,0,2288180,0
1017,0,0,0,2288180,0
1017,0,0,0,2288180,0
1017,0,0,0,2288180,0
1017,0,0,0,2288180,0
1017,0,0,0,2288180,0
1017,0,0,0,2288180,0
1017,0,0,0,2288180,0
1017,0,0,0,2288180,0
1017,0,0,0,2288180,0
1017,0,0,0,2288180,0
1017,0,0,0,2288180,0
1017,0,0,0,2288180,0
1019,1,0,0,2288180,0
1019,1,0,0,2288180,0
1019,1,0,0,2288180,0
1019,1,0,0,2288180,0
1019,1,0,0,2288180,0
1019,1,0,0,2288180,0
1019,1,0,0,2288180,0
1019,1,0,0,2288180,0
1019,1,0,0,2288180,0
1019,1,0,0,2288180,0
1019,1,0,0,2288180,0
1019,1,0,0,2288180,0
1019,1,0,0,2288180,0
1019,1,0,0,2288180,0
1019,1,0,0,2288180,0
1021,1,0,0,2288180,0
1021,1,0,0,2288180,0
1021,1,0,0,2288180,0
1021,1,0,0,2288180,0
1021,1,0,0,2288180,0
1021,1,0,0,2288180,0
1021,1,0,0,2288180,0
1021,1,0,0,2288180,0
1021,1,0,0,2288180,0
1021,1,0,0,2288180,0
1021,1,0,0,2288180,0
1021,1,0,0,2288180,0
1021,1,0,0,2288180,0
1021,1,0,0,2288180,0
1021,1,0,0,2288180,0
1023,0,0,0,2288180,0
1023,0,0,0,2288180,0
1023,0,0,0,2288180,0
1023,0,0,0,2288180,0
1023,0,0,0,2288180,0
1023,0,0,0,2288180,0
1023,0,0,0,2288180,0
1023,0,0,0,2288180,0
1023,0,0,0,2288180,0
1023,0,0,0,2288180,0
1023,0,0,0,2288180,0
1023,0,0,0,2288180,0
1023,0,0,0,2288180,0
1023,0,0,0,2288180,0
1023,0,0,0,2288180,0
1025,0,0,0,2288180,0
1025,0,0,0,2288180,0
1025,0,0,0,2288180,0
1025,0,0,0,2288180,0
1025,0,0,0,2288180,0
1025,0,0,0,2288180,0
1025,0,0,0,2288180,0
